one,two,three,four,key
0.853,0.465,0.465,0.280,A
0.703,0.951,0.700,0.835,B
0.777,0.232,0.763,0.937,C
0.286,0.908,0.862,0.302,D
0.223,0.251,0.663,0.498,E
0.006,0.429,0.525,0.851,F
0.924,0.891,0.278,0.478,G
0.320,0.649,0.735,0.901,H
0.233,0.053,0.804,0.283,I
0.007,0.725,0.539,0.513,J
0.442,0.646,0.101,0.431,K
0.167,0.015,0.804,0.382,L
0.746,0.831,0.466,0.642,M
0.009,0.060,0.598,0.321,N
0.035,0.449,0.788,0.599,O
0.185,0.976,0.955,0.272,P
0.769,0.099,0.757,0.658,Q
0.063,0.087,0.706,0.924,R
0.497,0.659,0.192,0.691,S
0.442,0.449,0.219,0.062,T
0.938,0.347,0.187,0.507,U
0.503,0.171,0.923,0.617,V
0.166,0.170,0.478,0.598,W
0.895,0.258,0.145,0.824,X
0.971,0.919,0.643,0.140,Y
0.981,0.197,0.109,0.739,Z
0.168,0.901,0.462,0.841,A
0.799,0.509,0.466,0.985,B
0.447,0.252,0.228,0.468,C
0.360,0.628,0.331,0.018,D
0.326,0.639,0.252,0.455,E
0.091,0.278,0.276,0.576,F
0.701,0.205,0.422,0.308,G
0.634,0.637,0.785,0.910,H
0.196,0.906,0.185,0.922,I
0.990,0.980,0.241,0.171,J
0.407,0.227,0.837,0.618,K
0.350,0.914,0.299,0.265,L
0.243,0.767,0.082,0.807,M
0.943,0.261,0.194,0.484,N
0.489,0.916,0.311,0.379,O
0.409,0.036,0.284,0.877,P
0.335,0.047,0.410,0.877,Q
0.369,0.132,0.788,0.454,R
0.892,0.986,0.568,0.793,S
0.668,0.921,0.216,0.155,T
0.487,0.025,0.146,0.935,U
0.262,0.139,0.054,0.267,V
0.768,0.811,0.827,0.389,W
0.404,0.513,0.195,0.679,X
0.942,0.050,0.444,0.537,Y
0.787,0.532,0.781,0.721,Z
0.815,0.833,0.428,0.374,A
0.278,0.987,0.513,0.190,B
0.213,0.275,0.850,0.551,C
0.604,0.996,0.385,0.204,D
0.027,0.828,0.079,0.835,E
0.498,0.329,0.956,0.174,F
0.930,0.213,0.434,0.141,G
0.276,0.044,0.252,0.180,H
0.766,0.550,0.856,0.694,I
0.040,0.019,0.765,0.993,J
0.494,0.172,0.739,0.035,K
0.520,0.586,0.719,0.075,L
0.248,0.881,0.219,0.747,M
0.398,0.752,0.723,0.858,N
0.080,0.755,0.868,0.563,O
0.602,0.357,0.109,0.118,P
0.233,0.367,0.541,0.028,Q
0.544,0.319,0.771,0.457,R
0.913,0.379,0.384,0.246,S
0.789,0.516,0.834,0.488,T
0.578,0.490,0.484,0.391,U
0.035,0.021,0.115,0.827,V
0.544,0.293,0.776,0.716,W
0.638,0.973,0.687,0.992,X
0.085,0.161,0.791,0.541,Y
0.648,0.455,0.053,0.872,Z
0.715,0.960,0.866,0.229,A
0.398,0.399,0.924,0.497,B
0.707,0.241,0.637,0.237,C
0.385,0.884,0.940,0.809,D
0.130,0.597,0.581,0.208,E
0.515,0.446,0.247,0.726,F
0.913,0.749,0.110,0.668,G
0.964,0.312,0.465,0.750,H
0.268,0.634,0.232,0.813,I
0.329,0.433,0.821,0.776,J
0.988,0.358,0.299,0.412,K
0.979,0.858,0.514,0.898,L
0.153,0.473,0.104,0.675,M
0.372,0.819,0.685,0.039,N
0.879,0.222,0.804,0.622,O
0.027,0.196,0.540,0.628,P
0.401,0.394,0.330,0.321,Q
0.937,0.917,0.348,0.126,R
0.729,0.689,0.446,0.964,S
0.545,0.586,0.019,0.008,T
0.948,0.866,0.710,0.440,U
0.650,0.020,0.358,0.345,V
0.223,0.024,0.408,0.052,W
0.438,0.516,0.903,0.880,X
0.278,0.627,0.165,0.634,Y
